"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
129,16.2795,19.9813,6.65238,3.12049,196.185,172.628,133.52
130,14.6093,18.6267,5.93062,3.14209,224.481,210.376,180.147
131,12.896,16.764,5.60999,2.93189,205.848,178.424,138.712
132,14.1003,17.9493,5.68204,3.16409,201.972,175.201,140.009
133,14.7813,17.78,5.76377,3.27044,220.205,196.248,156.403
134,14.3584,18.6267,6.20362,2.96291,219.692,189.028,144.975
135,14.0358,19.4733,6.34943,2.82092,216.877,191.717,153.203
136,11.8638,17.1027,5.50953,2.74606,230.057,202.349,163.021
137,15.3763,21.6747,6.32476,3.12296,209.761,189.331,153.375
138,17.5842,21.082,6.70163,3.34872,215.863,193.677,159.147
