"number","area_mm2","perimeter_mm","majellipse_mm","minellipse_mm","grain  ch1","grain  ch2","grain  ch3"
30,12.8387,17.78,5.66799,2.8888,217.11,187.471,146.823
31,16.3584,19.812,6.23676,3.34442,204.961,178.676,137.369
32,16.7885,19.812,6.53658,3.2911,218.965,197.34,158.221
33,18.1003,21.336,6.76362,3.41101,221.189,195.094,153.039
34,16.6236,20.4893,6.53205,3.25841,205.776,180.713,144.232
35,15.4767,19.6427,6.28687,3.13889,214.89,189.124,147.868
36,12.0932,16.9333,5.38773,2.86325,235.006,222.853,190.851
37,16.5018,19.812,5.84282,3.61081,201.057,178.287,140.754
38,14.5018,18.796,6.02903,3.06901,212.204,190.513,152.944
39,14.6451,19.1347,6.26473,2.98143,227.934,205.397,165.821
40,15.0752,18.542,6.07298,3.17214,217.947,192.61,152.398
41,14.172,18.4573,5.9491,3.03751,237.047,214.587,173.558
42,11.9211,15.748,5.14591,2.96243,218.012,191.146,148.83
43,18.2939,20.1507,6.75556,3.4522,221.258,196.43,158.413
44,17.7204,20.1507,6.57627,3.43674,221.701,194.497,151.887
45,16.9462,21.59,7.03465,3.07087,214.959,194.293,159.149
46,17.7061,19.812,6.52376,3.46019,211.519,190.112,155.625
47,18.6021,20.32,6.47864,3.66425,208.136,186.879,153.082
48,16.172,20.1507,6.52522,3.16018,223.58,200.446,162.509
49,15.0824,19.4733,6.35982,3.02287,218.623,194.275,152.651
50,15.6344,18.796,6.09268,3.27339,214.876,189.696,150.454
51,18.3656,21.844,7.15684,3.2708,219.042,193.323,155.754
52,19.2688,22.0133,7.1741,3.42384,224.542,199.171,162.491
53,17.8924,20.828,6.69132,3.40821,222.371,199.291,161.413
54,18.3154,20.2353,6.29057,3.71664,221.485,201.114,166.473
55,16.8602,19.304,6.58305,3.26853,227.566,203.241,162.339
56,17.3978,20.828,6.91259,3.20768,220.571,202.249,166.859
57,20.215,22.352,7.06093,3.65282,204.145,178.712,139.038
58,15.2329,19.05,6.02554,3.22498,240.223,221.419,182.352
59,14.4516,18.9653,6.15729,2.99605,209.727,187.459,150.039
60,13.5555,18.4573,6.18007,2.79981,232.494,208.636,167.051
61,16.301,18.8807,6.09566,3.414,204.201,179.446,142.536
62,14.1218,17.6953,6.02823,3.00445,220.726,193.312,151.418
63,17.6917,20.6587,6.80689,3.31336,228.648,203.468,163.839
64,21.7347,23.368,7.41957,3.73834,227.212,200.296,159.939
65,15.3763,19.2193,5.94271,3.30194,237.145,214.887,176.511
66,18.7168,20.1507,6.67045,3.57823,219.037,191.596,151.719
67,15.8279,20.6587,6.91186,2.93021,233.986,212.411,171.468
68,14.2365,17.1027,5.91515,3.08241,227.041,200.645,157.692
69,17.0967,19.304,6.35378,3.43151,224.411,199.794,161.049
70,15.0394,19.304,6.29052,3.04922,224.867,207.993,173.85
71,15.8279,19.6427,6.38489,3.16146,225.255,210.96,178.496
72,15.6272,18.796,5.83676,3.41621,201,175.333,137.389
73,16.9175,19.1347,6.23245,3.46999,193.376,169.809,133.909
74,18.7383,21.5053,6.73701,3.54739,224.104,199.183,162.106
75,13.3978,17.1027,5.94107,2.88798,212.342,184.667,142.794
76,16.0501,18.4573,5.90916,3.46514,204.065,178.748,142.507
77,17.0036,20.6587,6.80803,3.18328,223.451,198.939,159.888
78,17.8781,21.1667,6.91751,3.29591,223.258,206.6,171.73
79,15.0824,18.9653,6.12633,3.14024,219.245,201.357,165.007
80,14.982,18.4573,6.08735,3.14024,215.967,187.33,145.623
81,17.1039,20.32,6.66129,3.2741,228.05,212.906,183.596
82,11.8996,17.272,5.36033,2.83934,210.877,185.799,146.798
83,19.8566,21.844,6.88469,3.67752,210.132,180.716,140.143
84,17.1182,21.2513,6.68103,3.27223,238.42,210.994,169.646
85,16.7096,19.558,6.46847,3.29487,211.379,192.45,156.784
86,18.0716,20.9973,6.86571,3.36421,220.784,201.771,168.626
87,15.8423,19.9813,6.32935,3.1942,232.009,203.075,161.447
88,10.7312,16.4253,5.4607,2.51065,215.902,191.764,152.749
89,19.3978,21.336,6.82581,3.62773,222.328,196.919,159.394
90,16.5304,19.9813,6.66026,3.16831,229.745,211.049,170.688
91,17.4122,19.6427,6.67109,3.32775,234.94,216.005,178.56
92,19.3261,21.336,6.82332,3.6121,213.285,186.514,148.284
93,14.9175,19.4733,5.9755,3.20384,206.15,181.085,145.039
94,17.0824,18.796,6.02635,3.61673,197.576,173.611,138.652
95,14.4014,18.1187,6.1723,2.97545,222.305,200.601,160.019
96,16.5949,19.304,6.49713,3.25668,223.845,193.834,151.32
